school_id,name,suburb,state,postcode,sector,school_type,website,year_range,teaching_staff,non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments
42769,Goulburn East Public School,Goulburn,NSW,2580,Government,Primary,http://www.goulburne-p.schools.nsw.edu.au,K-6,9.5,1.8,165,82,83
42770,Goulburn North Public School,Goulburn North,NSW,2580,Government,Primary,http://www.goulburnn-p.schools.nsw.edu.au,K-6,17.1,2.9,315,138,177
42771,Goulburn South Public School,Goulburn,NSW,2580,Government,Primary,http://www.goulburns-p.schools.nsw.edu.au/,"U, K-6",15.1,5,159,71,88
42772,Gundaroo Public School,Gundaroo,NSW,2620,Government,Primary,http://www.gundaroo-p.schools.nsw.edu.au,K-6,5.9,1.6,105,52,53
42773,Gunning Public School,Gunning,NSW,2581,Government,Primary,http://www.gunning-p.schools.nsw.edu.au,K-6,5.1,1.4,82,38,44
42774,Helensburgh Public School,Helensburgh,NSW,2508,Government,Primary,http://www.helensburg-p.schools.nsw.edu.au,"U, K-6",26.7,4.5,476,245,231
42775,Hill Top Public School,Hill Top,NSW,2575,Government,Primary,http://www.hilltop-p.schools.nsw.edu.au/,K-6,9.1,1.8,140,71,69
42776,Huskisson Public School,Huskisson,NSW,2540,Government,Primary,http://www.huskisson-p.schools.nsw.edu.au,K-6,10.6,1.8,177,89,88
42777,Jamberoo Public School,Jamberoo,NSW,2533,Government,Primary,http://www.jamberoo-p.schools.nsw.edu.au,K-6,5.9,1.7,122,59,63
42778,Jerangle Public School,Jerangle,NSW,2630,Government,Primary,http://www.jerangle-p.schools.nsw.edu.au,K-6,1.3,1,11,4,7
42779,Jindabyne Central School,Jindabyne,NSW,2627,Government,Combined,http://www.jindabyne-c.schools.nsw.edu.au,"U, K-12",57.2,10.3,815,393,422
42780,Kangaloon Public School,Kangaloon,NSW,2576,Government,Primary,http://www.kangaloon-p.schools.nsw.edu.au,K-6,2.5,0.9,32,16,16
42781,Kangaroo Valley Public School,Kangaroo Valley,NSW,2577,Government,Primary,http://www.kangaroova-p.schools.nsw.edu.au,K-6,4.8,1.5,80,39,41
42782,Keiraville Public School,Keiraville,NSW,2500,Government,Primary,http://www.keiraville-p.schools.nsw.edu.au,K-6,19,2.8,340,177,163
42783,Kiama Public School,Kiama,NSW,2533,Government,Primary,http://www.kiama-p.schools.nsw.edu.au,K-6,25.2,4,508,237,271
42784,Laggan Public School,Laggan,NSW,2583,Government,Primary,http://www.laggan-p.schools.nsw.edu.au,K-6,1.3,1,7,2,5
42785,Marulan Public School,Marulan,NSW,2579,Government,Primary,http://www.marulan-p.schools.nsw.edu.au,"U, K-6",6,2.4,99,51,48
42786,Merimbula Public School,Merimbula,NSW,2548,Government,Primary,http://www.merimbula-p.schools.nsw.edu.au,"U, K-6",25.4,6.2,404,180,224
42787,Michelago Public School,Michelago,NSW,2620,Government,Primary,http://www.michelago-p.schools.nsw.edu.au,K-6,2.5,0.9,38,18,20
42788,Milton Public School,Milton,NSW,2538,Government,Primary,http://www.milton-p.schools.nsw.edu.au,"U, K-6",41.6,8.3,681,338,343
42789,Mittagong Public School,Mittagong,NSW,2575,Government,Primary,http://www.mittagong-p.schools.nsw.edu.au/,"U, K-6",30.8,8,517,227,290
42790,Mogo Public School,Mogo,NSW,2536,Government,Primary,http://www.mogo-p.schools.nsw.edu.au,K-6,2.8,0.9,47,23,24
42791,Moruya Public School,Moruya,NSW,2537,Government,Primary,http://www.moruya-p.schools.nsw.edu.au,"U, K-6",22,7,336,154,182
42792,Moss Vale Public School,Moss Vale,NSW,2577,Government,Primary,http://www.mossvale-p.schools.nsw.edu.au,"U, K-6",39.2,10.5,509,256,253
